n_policy,pack_PPO_BipedalWalker1_relative_perc_criteria_best,pack_PPO_BipedalWalker2_relative_perc_criteria_best,pack_PPO_BipedalWalker3_relative_perc_criteria_best,pack_PPO_BipedalWalker4_relative_perc_criteria_best,pack_PPO_BipedalWalker5_relative_perc_criteria_best,pack_PPO_BipedalWalker6_relative_perc_criteria_best,pack_PPO_BipedalWalker7_relative_perc_criteria_best,pack_PPO_BipedalWalker8_relative_perc_criteria_best,pack_PPO_BipedalWalker9_relative_perc_criteria_best,pack_PPO_BipedalWalker10_relative_perc_criteria_best,pack_PPO_BipedalWalker11_relative_perc_criteria_best,pack_PPO_BipedalWalker12_relative_perc_criteria_best,pack_PPO_BipedalWalker13_relative_perc_criteria_best,pack_PPO_BipedalWalker14_relative_perc_criteria_best,pack_PPO_BipedalWalker15_relative_perc_criteria_best,pack_PPO_BipedalWalker16_relative_perc_criteria_best,pack_PPO_BipedalWalker18_relative_perc_criteria_best,pack_PPO_BipedalWalker19_relative_perc_criteria_best,pack_PPO_BipedalWalker20_relative_perc_criteria_best,pack_PPO_BipedalWalker23_relative_perc_criteria_best
32,0.6622726178504655,0.0336034396852863,0.5258538239419791,1.0,0.6865040169773999,0.2527161337114036,0.7921653617020825,1.0,0.7082044308275085,1.0,0.9639263493558596,0.8697390649124409,0.7187809806933144,0.8676404991791176,0.0111202017215839,0.616065526708751,1.0,0.7253402524715777,0.0440770228993154,0.9905838128864527
33,0.2713170423552641,0.0330590714336126,0.4148902933410591,1.0,1.0,0.6232138770554264,0.2570327066367888,0.9213909675328822,0.7076680749140575,0.8629924328039703,1.0,0.9617815438184424,0.8739371052523816,1.0,0.9728220966371238,0.6606711242050837,1.0,0.8536648751401054,0.3138723869032577,0.9804057274084769
34,0.596265474834898,0.0331536797603303,0.1121706993584649,1.0,1.0,1.0,0.9305303994322393,0.041279178844656,0.7319759815354744,1.0,1.0,0.8753341567266144,0.8808596985466934,0.3864552161643079,1.0,0.6937163409254563,0.969346067390591,0.9767615040894772,0.2848727359958824,0.9536794866384425
35,0.5489705685021061,0.0320726163100658,0.7551270282789246,1.0,0.6758882287063002,0.1040423241637675,1.0,1.0,0.7691411176698341,1.0,0.996396413634856,0.9001731871023406,1.0,0.3994961476527009,1.0,0.632219717596441,0.989516494452726,0.9983833456394514,0.4956100337784661,0.9827278728278158
36,0.7692957102251798,0.0321672642298433,0.7368064677695074,0.8906756690365895,0.7500645553967549,0.2342137231130507,1.0,0.0159591563662475,0.6787078766490815,0.9408928608255684,1.0,0.8770532639961275,1.0,0.2573779979737718,1.0,0.3358984378700096,1.0,0.9827129847231544,1.0,0.9891335024548402
37,0.1681263108665336,0.0725461540309167,0.199539514422494,0.8419944502369874,0.5055942797568707,1.0,1.0,1.0,0.6926022724037008,0.6421087101200129,1.0,0.9258559794875906,0.9388174183118856,0.3475755299159513,1.0,0.8268185968158142,0.999758269225765,0.9617703670901432,1.0,0.9889687233871916
38,0.5677553155362499,0.0813518581240791,0.5138851963323778,0.5156856586241286,0.0165719375890085,1.0,0.9409437819069126,0.0499681475546045,0.8262286599200493,0.8706239982151848,1.0,0.9695371807951266,0.4791870429639318,0.6505917166851097,1.0,0.7896168097654418,0.9954946047839496,1.0,0.0285016520929459,1.0
39,0.6748349138070995,0.7030384025310055,0.217318021498781,0.5585975898706627,0.040700012329836,1.0,0.9751141559894246,0.3838531531168839,0.8167932169147786,0.9337904758796404,1.0,0.9730329096402666,0.0084704570265518,1.0,0.9804543341950268,0.8875531052923143,0.9980143587911724,0.9518985128796909,0.1050788830650015,1.0
40,0.6629283143483009,0.6357800996910793,0.2668148970866137,0.6234830604381063,0.2719159793371057,0.825073591241421,0.983739741658198,0.0503621731209956,0.941469275653842,1.0,0.9819769270984208,0.9875997356183212,0.7644421562242762,0.718491723952684,0.9867351076925606,0.9983899771957516,1.0,1.0,1.0,0.9998513207632977
41,0.821646584966543,0.3193378068907173,0.0917830483310353,0.6935839773045409,0.4382060965527954,0.8138137255701933,1.0,1.0,0.96496523042967,1.0,1.0,1.0,0.7587683945944809,1.0,1.0,0.8200512037807068,1.0,1.0,1.0,1.0
