n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker23
39,157.43583417000002,257.839179888,240.26629483,249.505426918,248.557428766,277.234591682,268.911146562,245.96656820600003,155.46569515,227.243431726,260.080430326,265.154965098,191.840790556,199.244003382,301.214840008,148.03363755799998,243.479479624,254.482656368,187.192459042,296.00295819
40,157.43583417000002,257.839179888,240.26629483,249.505426918,248.557428766,277.234591682,268.911146562,245.96656820600003,155.46569515,261.743083522,260.080430326,265.154965098,191.840790556,199.244003382,301.214840008,148.03363755799998,247.935042494,265.840680982,246.90755639,296.00295819
41,157.43583417000002,257.839179888,240.26629483,249.505426918,248.557428766,277.234591682,269.37594559400003,284.91689386,155.46569515,265.79431737,269.496071486,266.021101034,191.840790556,247.039833612,302.28561029400004,148.03363755799998,250.896125258,273.31227541999993,249.96363255,298.25570503800003
42,157.43583417000002,257.839179888,258.14105314,249.505426918,248.557428766,277.234591682,278.287507238,284.91689386,177.36247235599998,265.79431737,281.05209304,266.618586734,191.840790556,247.039833612,302.28561029400004,226.452947542,255.888045656,273.31227541999993,249.96363255,298.25570503800003
43,180.01426172999996,257.839179888,258.14105314,249.505426918,248.557428766,277.234591682,293.630316532,284.91689386,183.64259882,267.104692086,281.05209304,287.80556635,191.840790556,247.039833612,302.521816442,226.452947542,263.942138178,273.31227541999993,249.96363255,298.25570503800003
44,180.01426172999996,257.839179888,258.14105314,249.505426918,248.557428766,277.234591682,293.630316532,284.91689386,197.228284522,268.531591766,283.83039675,287.80556635,191.840790556,247.039833612,302.521816442,226.452947542,266.58684461200005,273.31227541999993,249.96363255,298.25570503800003
45,180.01426172999996,257.839179888,266.9529866980001,249.505426918,248.557428766,277.234591682,302.6463426,296.666618762,210.869901328,268.531591766,283.83039675,287.80556635,191.840790556,251.160990936,303.76971189600005,226.452947542,272.653166576,273.31227541999993,249.96363255,298.25570503800003
46,180.01426172999996,257.839179888,290.4018373,249.505426918,248.557428766,277.234591682,307.013765324,296.666618762,262.501436644,268.531591766,283.83039675,287.80556635,205.383855432,251.160990936,303.76971189600005,226.452947542,272.653166576,273.31227541999993,249.96363255,298.625033846
47,242.581704232,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,307.013765324,297.579198506,265.001173874,268.531591766,283.83039675,287.80556635,205.383855432,251.160990936,303.76971189600005,273.687716532,275.686990384,273.31227541999993,249.96363255,298.625033846
48,265.700639032,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,307.013765324,299.221221118,289.61370929799995,276.076019654,283.83039675,287.80556635,220.252333726,251.160990936,303.76971189600005,275.68326493,275.686990384,273.31227541999993,249.96363255,299.121408178
49,265.700639032,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,307.013765324,301.904009372,294.484774962,276.076019654,283.83039675,287.80556635,220.252333726,251.160990936,303.76971189600005,283.490446782,275.686990384,273.31227541999993,249.96363255,300.97604739200005
50,265.700639032,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,308.991906802,301.904009372,303.835014716,276.076019654,283.83039675,287.80556635,238.193390916,251.160990936,303.76971189600005,283.490446782,275.686990384,273.31227541999993,249.96363255,302.153146698
51,265.700639032,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,309.443441674,301.904009372,306.460044082,277.21130626800004,283.83039675,287.80556635,238.193390916,251.160990936,303.76971189600005,290.45500338200003,275.686990384,273.31227541999993,249.96363255,302.153146698
52,265.700639032,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,310.557741758,305.477603636,308.528178136,281.51704056,283.83039675,287.80556635,242.28841175,251.160990936,303.76971189600005,290.45500338200003,275.869306484,273.31227541999993,249.96363255,302.153146698
53,272.723109178,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,310.557741758,305.477603636,308.528178136,283.84425046800004,283.83039675,293.90324358600003,245.327660838,251.160990936,303.76971189600005,290.45500338200003,279.52433386,273.31227541999993,249.96363255,302.153146698
54,272.723109178,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,310.557741758,306.600367644,308.528178136,285.35616612200005,283.83039675,293.90324358600003,245.327660838,251.160990936,303.76971189600005,290.45500338200003,279.52433386,273.31227541999993,249.96363255,302.153146698
55,272.723109178,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,308.528178136,287.24036574200005,283.83039675,293.90324358600003,245.327660838,251.160990936,303.76971189600005,290.45500338200003,279.52433386,273.31227541999993,249.96363255,302.153146698
56,279.947430356,257.839179888,292.010190036,249.505426918,259.567348362,277.234591682,311.27135396,306.600367644,308.528178136,290.29628086,283.83039675,293.90324358600003,245.327660838,268.766149748,303.76971189600005,290.45500338200003,280.117446472,273.31227541999993,249.96363255,304.84258655400004
