n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker23
56,279.947430356,108.589910866,268.236620108,95.253259604,180.166118504,189.461253436,310.398634808,300.16961649000007,305.79763033200004,290.29628086,259.508340082,289.52017146,239.90092372,268.766149748,281.186416204,282.532317268,280.117446472,192.417584514,114.666960396,304.84258655400004
57,285.558808782,147.535710486,268.139722896,106.621335468,238.368512048,137.302684676,310.925633632,300.527466718,309.24713766400004,288.9474720139999,260.09313793,283.90209992200005,232.174545334,277.6953689400001,232.49320272,281.313094052,276.478273202,275.85372988200004,132.505159614,294.978140074
58,230.217576474,118.233625222,281.13074042200003,86.93283280200001,176.35101677,208.09179133,310.871584072,18.923443592,306.793627212,288.792602824,256.582564258,293.217459744,233.580658802,299.041536874,276.95830696,289.027542678,214.343011646,262.82281123,147.51244784000002,304.794942122
59,140.67267267400004,97.53827634,293.536812386,108.215055778,195.579332472,225.376306144,307.736983072,301.575592082,309.8367372,290.92436396600004,276.86227454400006,259.65650131800004,200.025002622,291.445690406,293.52787077000005,291.037647196,283.99832697000005,269.99396037400004,175.11713577999998,302.651460656
60,273.434884826,135.47500545,300.866140104,40.411366724,13.934787314,265.22060751,307.33875392000004,298.26336125800003,302.50665195600004,289.663012688,263.828791274,263.789595706,194.5927328,271.23690154400003,276.458445266,298.18057541400003,285.533085906,279.969376866,167.073034192,303.29646874
61,254.080150502,191.790239064,298.258186702,104.20043811,-6.805214433999999,264.494402108,307.249884946,279.444304736,306.74159753799995,290.478094698,244.922312698,260.146621502,185.574784238,271.77700791200004,294.355631426,292.85205598,287.34431760800004,288.287603676,247.557676004,301.10203442000005
62,275.11772771200003,228.428194102,295.2402977219999,133.33200746,-0.3643984500000006,246.20904198,306.810857108,224.025520242,304.19076673,295.89407392400005,209.91129376000004,291.22924193999995,250.336231368,279.655029224,271.333751066,292.265270524,290.04161923000004,291.994900418,214.210497976,295.348886504
63,280.135700058,200.437590194,294.99763130400004,158.20917415799997,18.116738074,272.86061670000004,306.899673548,-105.82118273,306.442274412,291.218547352,263.379325372,274.325960148,251.420436332,230.308668376,290.20915331000003,288.02389044600005,285.233614694,285.35270199,224.229516084,289.929617036
64,284.750737826,233.130467454,296.03812747,162.34715607,85.824023822,268.320653822,306.89609098600005,203.849267818,298.32201387799995,291.653571536,286.31932362000003,276.44850345,249.34114494,181.206146182,264.32613687,284.79630368400007,285.567974312,285.42776221,261.86549876600003,292.46471392200004
65,294.503875504,239.481281562,301.9386304,151.24005093999995,32.047891371999995,255.708514672,305.08542668,-117.740979744,301.116374918,283.111847452,285.942775436,267.118372408,246.39236354400003,184.494305882,182.16526002,286.977099658,279.01770170800006,292.039218864,269.30296491400003,289.87785496400005
66,280.763643972,218.080419214,297.11016295599995,135.24119442000003,132.103762972,282.03205821,304.193239726,-94.8732418,301.30710800799994,295.43721353,284.88580537200005,272.835548048,257.012647938,266.40029891999995,220.497155316,276.247474168,285.431487776,292.747938044,100.292164566,296.357158558
