n_policy,pack_PPO_Walker2d2_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d9_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d10_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d11_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d12_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d13_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d14_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d15_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d17_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d18_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d19_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d20_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d21_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d22_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d23_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d24_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d25_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d28_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d29_norm_from_mean_worsening_to_improvement_reward_diff
1626,0.9220632359220866,0.3549721808485926,0.089080528520299,0.8365659395987385,0.2173016273557273,0.2247095343354632,0.0049918416199346,0.6508780076713591,0.019099358717417,0.6353187591214855,0.4159373900821731,0.3765401346871306,0.1858669259072941,0.2441463983318253,0.4055728828185708,0.837733566064608,0.818265737918184,0.0291709907915334,0.8408347449295207
1627,0.924041050495908,0.3779644610390899,0.0889701779895113,0.9232544030315226,0.1546147072468281,0.3344694686649576,0.0,0.6450560507997442,0.0003673280181216,0.6111512306557699,0.473632484534578,0.3176616324581592,0.2191692030077416,0.213213245430923,0.4969328212760642,0.8641322510834671,0.8787984409733112,0.1096203605615153,0.8507075011713418
1628,0.9275353358772064,0.3701035987113535,0.1214551192401275,0.8587020947442909,0.1679930860957148,0.3516917752067073,0.0771323358035749,0.6469329070686188,0.0197299282090195,0.6552069242449406,0.4795721463491353,0.2673634497719931,0.4728479962263623,0.287623487299105,0.4814686503518889,0.8345975121915868,0.9732912420798602,0.0518419641131209,0.8448779726908329
1629,0.911702881725901,0.4223830286387878,0.0897983231923112,0.6304833391330319,0.1494268455553302,0.4583036051175146,0.3607266480047401,0.6246426665225119,0.0351246722067328,0.5533412910239135,0.4043690541176986,0.3447019059266116,0.7846609088900559,0.281047492255648,0.4262094416335114,0.9658758374703862,1.0,0.0617139145298892,0.8614284681891684
1630,0.913820865004576,0.3834269896157053,0.0976292006466713,0.6480026235293836,0.2405891989982169,0.3321966704825925,0.4059745225140382,0.6339804040464715,0.0140413687536949,0.6440761555001577,0.3753068576300434,0.2391988229280205,0.1565641418115321,0.225526232013371,0.4625230811459813,0.9544214504937706,1.0,0.0755312331745863,0.8771780183828021
1631,0.8965279553840705,0.3379098352430459,0.1005707222508009,0.6388792482898562,0.379641507118602,0.2971766063529882,0.3104139423224003,0.6757414542030047,0.052047824921633,0.5600208485305206,0.3652701451175845,0.2733027106228768,0.3936271701572884,0.1921834776293682,0.4185798448264618,0.9835864577445343,0.9599566258321136,0.0471419285725271,0.8906197226716634
1632,0.8946981812296075,0.3685058106867871,0.0940513642448157,0.8018973536594017,0.6019961181710904,0.4699396323308258,0.3411735107221207,0.6376578189821027,0.0413399004389129,0.5339777979949372,0.3570134109609412,0.2284064596106911,0.2833257764739335,0.1868640309205531,0.5467944243426038,0.9736240117133944,0.9752438505374248,0.0572250468421776,0.8845501049287081
1633,0.8875783846225055,0.243061968523547,0.1161678136525306,0.7289055291037209,0.6658966578082953,0.3447407405888436,0.2794213486472547,0.6472059964100563,0.0562512590727771,0.6052941469567664,0.3869144922961026,0.2510086865673744,0.7989661126086316,0.248947067692563,0.3935221730449676,0.911374645248791,0.9600830217933364,0.0884495503238065,0.8762624155826038
1634,0.8926367218671687,0.3256253629441743,0.1351450931193512,0.7414478162822743,0.4850550986383005,0.2543783688182047,0.2397429990522598,0.6825084140814907,0.0845175892580056,0.6217865470527411,0.3892629860268722,0.28433655986455,0.2293591808369796,0.3897056910019773,0.379699492322443,0.989584215170065,0.9083559310032676,0.1668089435707538,0.8844490545716912
1635,0.9051902339651378,0.3700472697453768,0.1130479072712909,0.7022724677702931,0.336481331945891,0.2954198344916915,0.1047799029336494,0.6967802621726273,0.0640955125773632,0.6484685663216618,0.3662043922041917,0.2452816743144067,0.1498602383199143,0.4901763952755759,0.3421298017770443,0.9068394674325652,0.8702876190362231,0.2029209873342277,0.8824815522127833
1636,0.9163765666517212,0.4177557009343232,0.1034172984590365,0.4693115851576058,0.3150710759734965,0.2380547801373973,0.0252157795600632,0.6795525455135341,0.0829812977671833,0.6430151882014646,0.3776024448674972,0.3334074341651165,0.1581717277380907,0.5079514451271903,0.4096868793660816,0.9035698448454176,0.976425192142584,0.1673606009751552,0.8537393554790319
1637,0.9183247144257642,0.3861738675013229,0.0835920563934858,0.4869337059849623,0.3051344769871307,0.2110974607355897,0.0,0.6192838328287494,0.0614395385544695,0.6283239809063397,0.4096644098861481,0.3150650343955608,0.177666606006239,0.496781724310997,0.403688625628061,0.9469026086899762,0.9682372999278692,0.1433071973924451,0.8865455426474396
1638,0.9220751072277138,0.3703634128919584,0.1032469991692948,0.4634284774354189,0.3309222421190339,0.1837648568866896,0.0,0.6202968852333073,0.0616322096574537,0.6422576505941243,0.4177029554141825,0.3086648287703802,0.1710064915236875,0.5483940921690181,0.4278872150559713,0.9381377143901414,0.9349614157317552,0.0493191252107168,0.8824311820788726
1639,0.926939814299464,0.3898910820923649,0.1040663343495689,0.2281093525568617,0.5418917645674433,0.141977796690912,0.6347672092752161,0.6484736829637902,0.0587804999852931,0.6524087190800506,0.4473345241182953,0.3389924566470887,0.2582069151243922,0.5459501364761864,0.2400576627272524,1.0,0.8850908575013491,0.0056509475751543,0.8745387192370463
1640,0.926910438808242,0.3099554186253661,0.0834341704804547,0.5037951737534863,0.3308053663229813,0.2312046845749749,0.5679733980563361,0.6118245453860391,0.0825459432129524,0.65478253895393,0.46986076086424,0.322994561214719,0.2915271529326804,0.6019986056944809,0.3857253139252947,1.0,0.8608911068467814,0.0146317042777471,0.8942836106252013
1641,0.9190061825522168,0.3503223743086612,0.1115061715600703,0.3337325148963905,0.2444537330609995,0.1016591611862268,0.2752097124362154,0.6125697053850288,0.0527018075543759,0.6585878656355625,0.4843565936907986,0.3364816618777252,0.1920255353579044,0.4692851664883397,0.1735893428572591,1.0,0.799690622216144,0.0828276035643941,0.8883019038451725
1642,0.9231699197316824,0.2563845327512705,0.1030903844615743,0.3729151810732026,0.2063064739107698,0.2140881242425218,0.0,0.6441055107230949,0.0884223298426832,0.6770420247991804,0.4843077797598656,0.3426163651627688,0.1843572907340075,0.4956606644788773,0.1580511102023731,0.9855499770168686,0.8282821680038512,0.1005060569287737,0.9266743499725828
1643,0.917039515555914,0.2496853466877007,0.086456785138541,0.3699005766776247,0.3285544329291512,0.3447434750464469,0.0727107858040612,0.6386578230406096,0.0729901195705933,0.6831509568273106,0.480164592993182,0.2583120197127992,0.3285291975273718,0.2374395246310444,0.051722098674257,0.99794656594035,0.8278278761698763,0.0667505686583184,0.9167723359132144
1644,0.9137841676063516,0.3459699220728769,0.176513745530491,0.4403651928598021,0.2105669676166063,0.4858893190386556,0.0,0.6558693851923115,0.1037333266829975,0.6699757272049417,0.4679279948398603,0.2422210619114155,0.3062050542972706,0.342284454995849,0.1746808481520208,0.9157001102639278,0.8726215017437527,0.1250769105676639,0.9197951831507684
1645,0.921754016115614,0.3437027041163781,0.1227234199430582,0.4122320361913617,0.2212672658087461,0.4429903910838368,0.0175348458846147,0.6434827097678404,0.1082779963269033,0.6997239834593773,0.4758917708857596,0.3028500790696899,0.322746367608837,0.2854753635358267,0.3833917378429282,0.933046395801794,0.8019968823740539,0.1062572833373697,0.9376151827713872
