n_policy,pack_PPO_Walker2d1_relative_perc_criteria_best,pack_PPO_Walker2d2_relative_perc_criteria_best,pack_PPO_Walker2d3_relative_perc_criteria_best,pack_PPO_Walker2d4_relative_perc_criteria_best,pack_PPO_Walker2d5_relative_perc_criteria_best,pack_PPO_Walker2d6_relative_perc_criteria_best,pack_PPO_Walker2d7_relative_perc_criteria_best,pack_PPO_Walker2d8_relative_perc_criteria_best,pack_PPO_Walker2d9_relative_perc_criteria_best,pack_PPO_Walker2d10_relative_perc_criteria_best,pack_PPO_Walker2d11_relative_perc_criteria_best,pack_PPO_Walker2d12_relative_perc_criteria_best,pack_PPO_Walker2d13_relative_perc_criteria_best,pack_PPO_Walker2d14_relative_perc_criteria_best,pack_PPO_Walker2d15_relative_perc_criteria_best,pack_PPO_Walker2d16_relative_perc_criteria_best,pack_PPO_Walker2d17_relative_perc_criteria_best,pack_PPO_Walker2d18_relative_perc_criteria_best,pack_PPO_Walker2d19_relative_perc_criteria_best,pack_PPO_Walker2d20_relative_perc_criteria_best,pack_PPO_Walker2d21_relative_perc_criteria_best,pack_PPO_Walker2d22_relative_perc_criteria_best,pack_PPO_Walker2d23_relative_perc_criteria_best,pack_PPO_Walker2d24_relative_perc_criteria_best,pack_PPO_Walker2d25_relative_perc_criteria_best,pack_PPO_Walker2d26_relative_perc_criteria_best,pack_PPO_Walker2d27_relative_perc_criteria_best,pack_PPO_Walker2d28_relative_perc_criteria_best,pack_PPO_Walker2d29_relative_perc_criteria_best,pack_PPO_Walker2d30_relative_perc_criteria_best
30,0.7913426251319784,0.902987003980693,0.5788499778228475,0.8437917328041288,0.7349647233695127,0.968867474049603,0.7878702352783349,0.7701510188583122,0.8000761092922303,0.962243931871852,0.9042374081838168,0.689064020436225,0.7043606933975062,0.8748554761183475,0.7159786696210941,0.8012187284510592,0.9633431811451854,0.7564068413523823,0.8063725615843635,0.7487629035769385,0.8776147263629042,0.7627453623348089,0.8326690632237258,0.9823331608169776,0.7349609117417947,0.8868706700740293,0.907003475042198,0.933438062882594,0.9312496805275112,0.8016048523358169
31,0.7917131661562105,0.9144488250138432,0.6072794148133422,0.8488427001051487,0.7348023297252447,0.9611801240997478,0.7896408472060751,0.7727867778243528,0.7817293318472178,0.9418645829150756,0.9076338221580008,0.6892397890259746,0.7079501567576909,0.8875495808331039,0.7242408528293836,0.8029542770279119,0.9934397656100802,0.7559144551618131,0.8167564069484247,0.7485205954918395,0.8886272164219198,0.7661042726704954,0.8305386875345055,0.9924386772412892,0.7311294799852622,0.9011270631122312,0.9096596650555367,0.9496126608818176,0.9729972355561436,0.8040313078740671
32,0.7935284809789631,0.9213196941173948,0.6226489798386332,0.8457630703580177,0.7347824155154463,0.9646301319210712,0.7942375180971174,0.7710721100516539,0.7552587011631554,0.9817913161222216,0.9097484948862582,0.6913940316814603,0.7026426737703362,0.8804117543082757,0.7210677637705711,0.818010846297391,0.9619853748974264,0.7528951216169193,0.8852392095898217,0.7466769383021039,0.8825710256513029,0.756867142914064,0.8288175509180592,1.0,0.721240742177908,0.9197660644262124,0.906866655688486,0.9241042138938064,0.9827448922005648,0.8073446754802371
33,0.7933265092375629,0.9028052143781756,0.5754722663792324,0.8518325620881878,0.7365903404616585,0.9659015571321684,0.7922064553685646,0.7793376702494539,0.739797538509101,1.0,0.915339611236418,0.6903007221836109,0.7150378521640333,0.8720143612958764,0.7212475219035203,0.8225939489462428,0.9314736544024044,0.7500976354069073,0.8908373249556076,0.7469192112211737,0.9158084121252849,0.7545243700511755,0.8318238056911464,0.9943521901722836,0.7097745312254841,0.8947996741125156,0.9008984346075936,0.9256340504860412,0.9712438527570976,0.8070261538660088
34,0.7922445197351631,0.9162923867304266,0.58479746248645,0.8789694428967992,0.7375472526705624,0.9824685544914804,0.7874034521215375,0.7905576095065533,0.7492986246018742,1.0,0.9433096563295358,0.6931143259578856,0.7267127216576634,0.8624314087880645,0.7269330271545797,0.8274490866088995,0.9356907700752614,0.7553766985277571,0.9124959934510162,0.7510654094404144,0.9376268060106924,0.7563244190954131,0.8313269816840102,0.976483901378902,0.70368620364338,0.8710757013250923,0.8968345039368524,0.9648044521893696,0.9560891855116184,0.8063986844690045
35,0.8024981716636095,0.9226770611139984,0.5850694376702689,0.9114439865537378,0.7375593715034168,0.9934901596470364,0.7825804430302381,0.7878787008628084,0.7695545978075344,0.9925511702023556,0.935950061905782,0.6889573806452627,0.7388627903629665,0.855941325684798,0.7248601800025716,0.8542543095370332,0.9039127224084206,0.7492070445277836,0.8480109459487992,0.7485570793565962,0.9248087361776648,0.7564870452293045,0.832481696151985,0.988607295978309,0.7106193957987447,0.8658244434789518,0.8965336803378164,0.956483252944532,0.9246598283332926,0.8059060220217414
36,0.7930210487061258,0.8969746947520397,0.591958933713022,0.9127148488974428,0.7397492897440923,0.988792215617722,0.7822678549102816,0.7904869894211817,0.7781495411639013,0.942505915994074,0.9582291097962576,0.6857127491374336,0.738419690616766,0.8730193130204447,0.7265359390061688,0.8518392138913574,0.9297380236271988,0.7486860373428947,0.8505224372916421,0.7503016364753597,0.9416701029819682,0.7763967456035296,0.8360617193593404,0.9906016319546512,0.7206395636833979,0.8660385597458566,0.903326745235456,1.0,0.9171165795719488,0.8038775602061199
37,0.7957185316527386,0.8933847116435182,0.5908539584674538,0.93234762908989,0.7405029044517044,0.982237048737856,0.7859197068567084,0.7962234020175857,0.7881750594969348,0.9687815932360908,0.9545304300920142,0.6875198147166386,0.7420000925823532,0.8791924012402754,0.7328113137470328,0.8523704486713346,0.9248608444350592,0.7551109716880721,0.8405120896499765,0.749965637110372,0.9635711376068472,0.7747009760226549,0.8374393797459773,0.9998175955807508,0.7176377042813505,0.855456677528274,0.9122693148163512,0.9897396061693448,0.9205858536894812,0.8027494148946546
38,0.7960937011035513,0.9063881935311968,0.5977562558298049,0.8884861707943569,0.7488917554568228,0.997980172468042,0.7896626792060246,0.7895044503582475,0.7891325223779784,0.9497005198634754,0.9513947528104836,0.6836975567033857,0.7483261582861409,0.8923643740666017,0.7335316713606305,0.8727983724224111,0.927862319030192,0.7605465901842251,0.8306144265147474,0.7536414541971395,1.0,0.760333758289218,0.8357988939773724,0.9833328453412468,0.7161445813248817,0.8480865998939286,0.922894743134948,0.9804856043593536,0.9179612664740798,0.8049459506597484
39,0.8020443524885569,0.9098904217597676,0.56043181105964,0.9172463179696488,0.7688268769011175,0.982798189634498,0.789698453237903,0.7888396315545821,0.7883059481675204,0.9375418724744978,1.0,0.6820581536794315,0.7477288843979532,0.935107587792792,0.7333414303642154,0.840763231676735,0.8981021904354215,0.7805228284046086,0.8394110060984363,0.7524593658255757,0.945878916451747,0.765207425300823,0.8325421430459302,0.970897787072436,0.70709758014126,0.8548430243477467,0.9105149251754766,1.0,0.9202335304669056,0.8052051998684102
