n_policy,pack_PPO_BipedalWalker1_relative_perc_criteria_best,pack_PPO_BipedalWalker2_relative_perc_criteria_best,pack_PPO_BipedalWalker3_relative_perc_criteria_best,pack_PPO_BipedalWalker4_relative_perc_criteria_best,pack_PPO_BipedalWalker5_relative_perc_criteria_best,pack_PPO_BipedalWalker6_relative_perc_criteria_best,pack_PPO_BipedalWalker7_relative_perc_criteria_best,pack_PPO_BipedalWalker8_relative_perc_criteria_best,pack_PPO_BipedalWalker9_relative_perc_criteria_best,pack_PPO_BipedalWalker10_relative_perc_criteria_best,pack_PPO_BipedalWalker11_relative_perc_criteria_best,pack_PPO_BipedalWalker12_relative_perc_criteria_best,pack_PPO_BipedalWalker13_relative_perc_criteria_best,pack_PPO_BipedalWalker14_relative_perc_criteria_best,pack_PPO_BipedalWalker15_relative_perc_criteria_best,pack_PPO_BipedalWalker16_relative_perc_criteria_best,pack_PPO_BipedalWalker17_relative_perc_criteria_best,pack_PPO_BipedalWalker18_relative_perc_criteria_best,pack_PPO_BipedalWalker19_relative_perc_criteria_best,pack_PPO_BipedalWalker20_relative_perc_criteria_best,pack_PPO_BipedalWalker21_relative_perc_criteria_best,pack_PPO_BipedalWalker22_relative_perc_criteria_best,pack_PPO_BipedalWalker23_relative_perc_criteria_best,pack_PPO_BipedalWalker24_relative_perc_criteria_best,pack_PPO_BipedalWalker25_relative_perc_criteria_best,pack_PPO_BipedalWalker26_relative_perc_criteria_best,pack_PPO_BipedalWalker27_relative_perc_criteria_best,pack_PPO_BipedalWalker28_relative_perc_criteria_best,pack_PPO_BipedalWalker29_relative_perc_criteria_best,pack_PPO_BipedalWalker30_relative_perc_criteria_best
10,0.6437738458394635,0.9400795716653232,0.6584505266696973,0.7405884174978171,0.157043908644261,0.7630172992896576,0.9427565649410388,0.722735944027118,0.7915624876871227,0.5540866702499264,0.739782675222962,0.6595479759971514,0.8557284067543226,0.6238415991837639,0.7546223057146082,0.9381597857539564,0.778841499564978,0.1822873180090156,0.9140678153614044,0.2102820390293792,0.5632451851536125,0.7781902833599048,0.2119699648833103,1.0,0.7589331934344357,0.1516657705736157,1.0,1.0,0.1359689071758435,0.6698070754098062
11,0.8795173342873064,0.955949919472816,0.8083929332810246,0.7658476079848772,0.1767230462576316,0.7806355278975685,0.9926008277293932,0.5934557764459284,1.0,0.7434948046052777,0.1206697012973869,0.5961241331867116,0.7557401127492136,0.7887118359434607,1.0,0.8658410497115334,0.9047200540434278,1.0,0.0650385633551904,0.2049221246209034,1.0,0.4216312812624145,0.868310091823996,0.9498305097357984,0.8821777154311705,0.1492156357158518,0.6268944696100213,0.9617154744506452,0.1098290402131347,0.82745465396719
12,1.0,1.0,0.7142795021577095,0.8693738919859395,0.0185345866954623,1.0,1.0,0.6418839752127025,1.0,0.0635433220356838,0.4636512196820789,1.0,0.7621602046988484,1.0,1.0,0.8269324421457042,0.7911943147575174,0.8542195454158001,0.0559834626593924,0.6271808981008612,1.0,1.0,1.0,1.0,1.0,0.135830872837075,0.1250815511539157,1.0,0.147428576291266,1.0
13,0.066043520919336,1.0,1.0,0.2067584695778128,0.5624639201726849,1.0,0.2449490421542245,1.0,0.9355951293160444,0.0419414554934966,0.8192426772845561,1.0,1.0,1.0,1.0,1.0,0.8824346137355525,0.8959298213461071,0.7320125621678168,0.8033544426168406,1.0,0.1798153067415619,1.0,1.0,0.8516930733302503,0.1411265178988525,0.4889502026957254,1.0,0.9306282687983204,1.0
14,0.6665790444657118,1.0,1.0,0.128808177348047,0.5291254497634621,1.0,1.0,1.0,1.0,0.0647377749093913,0.2743726315509864,1.0,0.9396406260911476,1.0,0.059204920278074,1.0,1.0,0.0024222886855725,0.0127232857748355,0.7799902407827243,0.1532733498351328,0.3196377888127878,1.0,0.9411490022132633,0.933427865105786,0.1232592520920105,0.112310665460002,1.0,1.0,0.9925462193371952
15,0.5455497607062192,0.2591922808852674,0.9629132723078344,0.6922870062558489,1.0,1.0,0.2590295004943466,1.0,1.0,0.3357388157654657,0.4176702816368455,1.0,1.0,0.9980749538544196,1.0,1.0,0.8089696219478232,1.0,0.8999277951786225,0.753074440469555,0.155384771474083,1.0,1.0,1.0,1.0,0.1220978779994165,0.8487194857874261,1.0,0.9564585460243958,0.9807242564492678
16,1.0,1.0,1.0,0.7690960986368688,1.0,0.993805243710461,0.3945869329754889,1.0,0.1329982033708245,0.5646380029136,0.1343139170318737,1.0,1.0,1.0,0.1588269597854889,0.109278077791757,0.9432880679024312,0.1183223061703397,0.1898849980771428,0.0479083589067904,0.1562831413650499,1.0,1.0,0.1554002034772232,1.0,0.120666382998067,1.0,1.0,0.1445480117233693,1.0
17,1.0,0.1731446920805364,0.9889494044500856,0.7657690212410179,0.0067181798897048,0.9317602797005736,1.0,1.0,1.0,0.6233157549005315,0.8892182321744997,1.0,1.0,0.9608101908964408,1.0,0.2235668184382364,0.9975172661584908,0.9331998405390094,1.0,0.8022372077741866,1.0,1.0,0.8763827413580701,0.1408017857369096,0.1842446991648646,0.1179356150118961,1.0,0.8900784005684523,0.0216716207197013,0.7621793202449771
18,1.0,1.0,0.9918530830526088,1.0,1.0,0.9145825237408768,0.6694595530720047,0.987018661574205,1.0,0.6868788621084119,1.0,1.0,1.0,1.0,1.0,0.2549052782555794,1.0,0.885446008309733,1.0,0.7564358555699447,1.0,1.0,0.9733902014699166,0.1209312809248302,0.99362258375727,0.1299304149176277,0.955174365123692,0.0049177607878732,0.1180282725733036,0.191024673381029
19,1.0,0.0517182769030016,1.0,1.0,0.3672670478404737,0.9059545027617548,1.0,0.9197592426325584,1.0,1.0,1.0,0.9741838867510269,0.9775953872282784,1.0,0.993482425490713,1.0,1.0,0.8711999315248865,1.0,0.7373783867614649,1.0,1.0,1.0,0.6079943678634073,0.0347220499210806,1.0,1.0,0.0628060377165588,1.0,0.6625711013564484
