n_policy,pack_PPO_BipedalWalker1_100,pack_PPO_BipedalWalker2_100,pack_PPO_BipedalWalker3_100,pack_PPO_BipedalWalker4_100,pack_PPO_BipedalWalker5_100,pack_PPO_BipedalWalker6_100,pack_PPO_BipedalWalker7_100,pack_PPO_BipedalWalker8_100,pack_PPO_BipedalWalker9_100,pack_PPO_BipedalWalker10_100,pack_PPO_BipedalWalker11_100,pack_PPO_BipedalWalker12_100,pack_PPO_BipedalWalker13_100,pack_PPO_BipedalWalker14_100,pack_PPO_BipedalWalker15_100,pack_PPO_BipedalWalker16_100,pack_PPO_BipedalWalker18_100,pack_PPO_BipedalWalker19_100,pack_PPO_BipedalWalker20_100,pack_PPO_BipedalWalker23_100
32,133.78835309802523,133.67439416160255,182.26068478792672,71.5179288124328,63.92021357914229,133.34233482196868,156.72913876362742,128.15408216202368,60.49963384461749,62.47738243210392,47.8018656833125,130.15628341673974,138.32433427278696,125.89208209370352,118.54666724387528,97.42452747000178,49.827665183750106,34.23964766176432,43.999496448515856,145.4319475854312
33,132.0806916732197,146.5183564491477,180.1652129121753,92.40900200500764,63.08998341685219,141.1238359807503,176.19298070474122,131.83010635373736,66.4999600208558,74.36822042713233,60.6061282479312,154.9870301705152,149.0977606916953,153.81248893638724,139.04700827303125,93.6295787608472,61.67224979618069,38.86392637627228,50.29422544065739,157.46976066737508
34,125.15533101262308,141.5154706991333,197.6763220741265,114.61948438183462,71.24760310160957,141.30351925354304,183.9702064679211,140.53463583367906,86.08856618444057,87.13075696028187,64.11792885589152,159.85804622421855,145.17909403248166,158.89341637120145,171.72024847581707,117.03467795616169,61.43454562473198,50.55131463912952,50.60654338905006,159.20667580112334
35,144.40999044337033,135.8903470145563,206.05114379453764,125.02346570874012,99.93999302669616,147.21106870951917,177.5653236105363,137.1742486535033,85.2899615476618,91.30894818498768,69.78142360062324,171.05886463782255,125.2822206606198,159.75813530236454,188.25076384146465,123.44205545981102,82.2497684027307,87.17511306919387,65.5201575454093,172.1051422480437
36,167.75887782901015,143.57330638107362,222.23088877885544,134.72141543855048,118.1281771707705,164.48523655837604,181.8939157673213,155.85334635341772,84.14726030377409,108.35513904136562,80.53174868944566,181.7736412195556,135.36565162266783,174.03617072498253,178.88237531746736,132.4519322350755,89.23619578698708,87.79515629283327,78.22625313911048,181.4456184926157
37,163.93604174586625,156.3039134181896,235.33789731968776,144.06303436749062,126.96416514743936,165.95983828900978,191.79928783462407,180.83632456764784,107.80593187901772,112.07931562001336,81.33272085909238,186.02187055826013,152.352031699266,182.7874823131359,172.93676862718175,159.0909759486138,81.10228834939248,87.7725522459799,85.94522206346097,191.65727186566016
38,171.67839202460425,132.39065158033875,221.73099151567607,140.2926763328782,101.41248830526251,163.8384147303016,206.18609153199912,187.3848399876614,118.495961844002,114.68578796087968,96.41838880377968,195.7854642046809,159.31424199462694,192.70802465514447,196.38279772997004,178.36120051725476,102.8309833647337,109.29498286509158,100.56976827578676,204.674933771591
39,200.3333698721105,144.8713585661231,226.7810349057494,146.32489961235348,103.11879357592494,176.1116240316846,215.8982813786116,212.9584857268774,129.66102648454455,115.2492905219589,105.3622240982615,215.6104887566746,171.5438327022738,217.1577799032416,225.3836436706412,173.41631652353854,138.57825447281968,131.05772424269017,112.60341633512029,221.8682857895912
40,208.51773549148203,178.8282618481922,248.38154810479463,156.22232492523122,118.32116462826322,188.02791679659683,218.2869936176876,221.3744560275585,132.0219108072889,106.29513821605504,112.7334932260374,228.45548551266344,184.0960900499663,229.3341461474392,229.73815126525355,186.67272998052155,150.5369268558966,144.3133461474703,126.0352027963032,218.14357404358103
41,221.54289876444005,198.60601966355404,249.9329957551272,169.38538688768233,119.88017964512066,217.84474387394468,235.48161205236767,232.74179532890733,132.5955682577748,113.39263260690755,121.18437684223856,242.0038629721693,193.47294882797112,230.0372414706489,229.7878024622464,213.7799255338728,154.81778034201707,143.22543663786158,127.6656275702003,216.7301491231048
