process_id,degradation_level,rank_last,rank_best_train,rank_best_test,not_first_prob
PPO_Ant_seed2,0.011625333333333335,2,3,1,0.6266673746084438
PPO_Ant_seed2,0.00996457142857143,1,3,2,0.0
PPO_Ant_seed2,0.008719000000000001,1,2,3,0.5
PPO_Ant_seed2,0.01284799999999999,2,3,1,0.39471878009540595
PPO_Ant_seed2,0.02342559999999999,1,3,2,0.0
PPO_Ant_seed2,0.021295999999999992,1,3,2,0.7260716956796143
PPO_Ant_seed2,0.019521333333333325,2,3,1,0.6858415210023894
PPO_Ant_seed2,0.0180196923076923,1,2,3,0.9092930502151824
PPO_Ant_seed2,0.016732571428571423,1,2,3,0.5
PPO_Ant_seed2,0.01561706666666666,1,2,3,0.0
PPO_Ant_seed2,0.016172999999999993,1,2,3,0.0
PPO_Ant_seed2,0.015221647058823522,1,2,3,0.4701342225408414
PPO_Ant_seed2,0.018723555555555556,1,2,3,0.6569802430315363
PPO_Ant_seed2,0.01891747368421052,1,2,3,0.8835215608051122
PPO_Ant_seed2,0.017971599999999994,1,2,3,0.0
PPO_Ant_seed2,0.017115809523809516,1,2,3,0.31800164704680617
PPO_Ant_seed2,0.0164170909090909,1,2,3,0.5343245743418513
PPO_Ant_seed2,0.01619547826086955,1,2,3,0.0
PPO_Ant_seed2,0.015520666666666653,1,2,3,0.4724918814248804
PPO_Ant_seed2,0.014899839999999987,1,2,3,0.09437416867352709
PPO_Ant_seed2,0.015282461538461523,1,2,3,0.5
PPO_Ant_seed2,0.01471644444444443,1,2,3,0.6314197031420947
PPO_Ant_seed2,0.014205428571428553,1,2,3,0.4970992611996208
PPO_Ant_seed2,0.013715586206896535,1,2,3,0.5
PPO_Ant_seed2,0.013258399999999983,2,1,3,0.0
PPO_Ant_seed2,0.013391999999999984,2,1,3,0.0
PPO_Ant_seed2,0.012973499999999985,1,2,3,0.0
