process_id,degradation_level,rank_100,rank_50,rank_500,rank_25,rank_250,not_first_prob
PPO_Ant_seed1,0.02204671372549018,4,5,2,1,3,0.5008372969600758
PPO_Ant_seed1,0.021960593749999986,4,5,1,3,2,0.3158870908221718
PPO_Ant_seed1,0.02187514396887158,1,2,3,5,4,0.75
PPO_Ant_seed1,0.021790356589147273,1,2,3,5,4,0.75
PPO_Ant_seed1,0.021706223938223926,1,2,3,4,5,0.25
PPO_Ant_seed1,0.022438923076923065,1,2,4,3,5,0.25
PPO_Ant_seed1,0.02235295019157087,1,2,4,3,5,0.25
PPO_Ant_seed1,0.022287022900763346,1,2,4,3,5,0.25
PPO_Ant_seed1,0.02231105703422052,1,2,5,3,4,0.25
PPO_Ant_seed1,0.02284733333333332,1,2,5,3,4,0.25
PPO_Ant_seed1,0.022761116981132062,1,2,5,3,4,0.25
PPO_Ant_seed1,0.02267554887218044,1,2,4,3,5,0.25
PPO_Ant_seed1,0.02259062172284643,1,2,4,3,5,0.25
PPO_Ant_seed1,0.022506328358208944,1,2,4,3,5,0.25
PPO_Ant_seed1,0.023003330855018576,1,2,4,3,5,0.25
PPO_Ant_seed1,0.023996444444444428,1,2,4,3,5,0.25
PPO_Ant_seed1,0.023907896678966773,1,2,4,3,5,0.25
PPO_Ant_seed1,0.023819999999999984,1,2,4,3,5,0.25
PPO_Ant_seed1,0.024507721611721597,1,2,4,3,5,0.25
PPO_Ant_seed1,0.024571124087591226,1,2,4,3,5,0.25
PPO_Ant_seed1,0.02448177454545453,1,2,4,3,5,0.25
PPO_Ant_seed1,0.0243930724637681,1,2,4,3,5,0.25
PPO_Ant_seed2,,1,2,3,4,5,1.0
PPO_Ant_seed2,0.0,2,1,3,4,5,0.0
PPO_Ant_seed2,0.008884,2,1,4,3,5,0.0
PPO_Ant_seed2,0.005922666666666666,4,1,5,2,3,0.0
PPO_Ant_seed2,0.004442,1,2,5,3,4,0.75
PPO_Ant_seed2,0.013950400000000002,1,2,5,3,4,0.75
PPO_Ant_seed2,0.011625333333333335,1,4,5,2,3,0.5
PPO_Ant_seed2,0.00996457142857143,1,4,5,2,3,0.8944538411604999
PPO_Ant_seed2,0.008719000000000001,2,1,5,3,4,0.0
PPO_Ant_seed2,0.01284799999999999,4,1,2,5,3,0.860115492538011
PPO_Ant_seed2,0.02342559999999999,1,3,4,5,2,0.25
PPO_Ant_seed2,0.021295999999999992,1,3,4,5,2,0.0
PPO_Ant_seed2,0.019521333333333325,1,4,2,5,3,0.0
PPO_Ant_seed2,0.0180196923076923,1,2,3,4,5,1.0
PPO_Ant_seed2,0.016732571428571423,4,1,5,2,3,0.5
PPO_Ant_seed2,0.01561706666666666,5,2,1,3,4,0.0
PPO_Ant_seed2,0.016172999999999993,5,2,1,3,4,0.0
PPO_Ant_seed2,0.015221647058823522,2,3,1,4,5,0.0
PPO_Ant_seed2,0.018723555555555556,1,4,2,5,3,0.6579824635667255
PPO_Ant_seed2,0.01891747368421052,1,2,3,4,5,1.0
PPO_Ant_seed2,0.017971599999999994,1,2,3,4,5,1.0
PPO_Ant_seed2,0.017115809523809516,1,2,3,4,5,1.0
PPO_Ant_seed2,0.0164170909090909,1,2,3,4,5,1.0
PPO_Ant_seed2,0.01619547826086955,1,2,3,4,5,1.0
PPO_Ant_seed2,0.015520666666666653,3,4,1,5,2,0.6240451804292149
PPO_Ant_seed2,0.014899839999999987,3,4,1,5,2,0.6240451804292149
PPO_Ant_seed2,0.015282461538461523,5,1,2,3,4,0.5
PPO_Ant_seed2,0.01471644444444443,5,1,2,3,4,0.820695841186865
PPO_Ant_seed2,0.014205428571428553,1,4,2,5,3,0.8936361652367961
PPO_Ant_seed2,0.013715586206896535,1,2,3,5,4,0.75
PPO_Ant_seed2,0.013258399999999983,1,2,4,5,3,0.5
PPO_Ant_seed2,0.013391999999999984,1,2,4,5,3,0.25
PPO_Ant_seed2,0.012973499999999985,1,5,2,3,4,0.75
PPO_Ant_seed2,0.012580363636363622,1,5,3,2,4,0.25
PPO_Ant_seed2,0.01275623529411763,1,2,3,4,5,1.0
PPO_Ant_seed2,0.01359657142857141,1,3,2,4,5,0.25
PPO_Ant_seed2,0.01321888888888887,3,4,1,2,5,0.25
PPO_Ant_seed2,0.012861621621621603,1,5,2,4,3,0.5
PPO_Ant_seed2,0.012523157894736825,1,2,3,4,5,1.0
PPO_Ant_seed2,0.012202051282051265,1,2,4,3,5,0.5
PPO_Ant_seed2,0.01241119999999998,1,2,3,4,5,1.0
